"","id","X","Y","Z","Spit","Level","Code"
"1078","H18-1254",119.696998596191,126.563003540039,24.6730003356934,"6","4","LITHIC"
"1079","H18-1255",119.609001159668,126.749000549316,24.6760005950928,"6","4","LITHIC"
"1080","H18-1256",119.583999633789,126.825996398926,24.6690006256104,"6","4","LITHIC"
"1081","H18-1257",119.478996276855,126.908996582031,24.6319999694824,"6","4","LITHIC"
"1082","H18-1258",119.359001159668,126.122001647949,24.6770000457764,"6","4","LITHIC"
"1083","H18-1259",119.582000732422,126.975997924805,24.6749992370605,"6","4","LITHIC"
"1084","H18-1260",119.607002258301,126.783996582031,24.6520004272461,"6","4","LITHIC"
"1085","H18-1261",119.603996276855,126.84700012207,24.6459999084473,"6","4","LITHIC"
"1086","H18-1262",119.76000213623,126.734001159668,24.6760005950928,"6","4","LITHIC"
"1087","H18-1263",119.002998352051,126.484001159668,24.5750007629395,"6","4","LITHIC"
"1088","H18-1264",119.677001953125,126.866996765137,24.6439990997314,"6","4","LITHIC"
"1089","H18-1265",119.029998779297,126.46900177002,24.5879993438721,"6","4","LITHIC"
"1090","H18-1266",119.790000915527,126.63500213623,24.6639995574951,"6","4","LITHIC"
"1091","H18-1267",119.578002929688,126.403999328613,24.69700050354,"6","4","LITHIC"
"1092","H18-1268",119.811996459961,126.452003479004,24.6630001068115,"6","4","LITHIC"
"1093","H18-1269",119.611000061035,126.36799621582,24.6679992675781,"6","4","LITHIC"
"1094","H18-1271",119.035003662109,126.660003662109,24.5919990539551,"6","4","LITHIC"
"1095","H18-1272",119.750999450684,126.277000427246,24.6770000457764,"6","4","LITHIC"
"1096","H18-1273",119,126.728996276855,24.5669994354248,"6","4","LITHIC"
"1097","H18-1274",119.65599822998,126.095001220703,24.7390003204346,"6","4","LITHIC"
"1098","H18-1275",119.297996520996,126.143997192383,24.6660003662109,"6","4","LITHIC"
"1099","H18-1276",119.41300201416,126.167999267578,24.6609992980957,"6","4","LITHIC"
"1100","H18-1277",119.071998596191,126.095001220703,24.6860008239746,"6","4","LITHIC"
"1101","H18-1278",119.467002868652,126.749000549316,24.6399993896484,"6","4","LITHIC"
"1102","H18-1279",119.819000244141,126.484001159668,24.6860008239746,"6","4","LITHIC"
"1103","H18-1280",119.650001525879,126.402000427246,24.6550006866455,"6","4","LITHIC"
"1104","H18-1281",119.453002929688,126.166000366211,24.6700000762939,"6","4","LITHIC"
"1105","H18-1282",119.815002441406,126.19100189209,24.7000007629395,"6","4","LITHIC"
"1106","H18-1283",119.709999084473,126.11799621582,24.67799949646,"6","4","LITHIC"
"1107","H18-1284",119.156997680664,126.928001403809,24.6140003204346,"6","4","LITHIC"
"1108","H18-1286",119.877998352051,126.202003479004,24.6959991455078,"6","4","LITHIC"
"1109","H18-1287",119.427001953125,126.027000427246,24.7479991912842,"6","4","LITHIC"
"1110","H18-1288",119.773002624512,126.041999816895,24.7189998626709,"6","4","LITHIC"
"1111","H18-1289",119.616996765137,126.03800201416,24.681999206543,"6","4","LITHIC"
"1112","H18-1290",119.615997314453,126.02799987793,24.7320003509521,"6","4","LITHIC"
"1113","H18-1291",119.002998352051,126.067001342773,24.6809997558594,"6","4","LITHIC"
"1114","H18-1292",119.055999755859,126.111000061035,24.6399993896484,"6","4","LITHIC"
"1115","H18-1294",119.008003234863,126.330001831055,24.5869998931885,"7","4","LITHIC"
"1116","H18-1295",119.052001953125,126.142997741699,24.6030006408691,"7","4","LITHIC"
"1117","H18-1296",119.008003234863,126.141998291016,24.6060009002686,"7","4","LITHIC"
"1118","H18-1297",119.087997436523,126.134002685547,24.568000793457,"7","4C","LITHIC"
