"","id","X","Y","Z","Spit","Level","Code","Sitio","Area","Lot","Materia","Classe","Fragmentacao_Artefacto","Cortex","Peso","Espessura","Largura","Comprimento","Alteracao","Fogo","N_Esquirolas","Tipo_Retocado","Notas"
"789","H19-3657",119.574996948242,127.199996948242,24.0410003662109,"4","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,3,NA,NA
"790","H19-3657",119.574996948242,127.199996948242,24.0410003662109,"4","5","BUCKET","VB",TRUE,"LOT-317","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,2,NA,NA
"791","H19-3658",119.328002929688,127.264999389648,24.0550003051758,"4","5","LITHIC","VB",TRUE,"LOT-316","Silex","Produto retocado",NA,"0%",2,5.43,15.18,26.7,"Nenhuma",NA,NA,"Lasca retocada",NA
"792","H19-3663",119.499000549316,127.444000244141,24.0559997558594,"4","5","LITHIC","VB",TRUE,"LOT-317","Silex","Núcleo",NA,"0%",25,14.99,52.93,30.33,"Nenhuma",NA,NA,NA,NA
"793","H19-3668",119.113998413086,127.410003662109,24.0410003662109,"4","5","LITHIC","VB",TRUE,"LOT-317","Grauvaque","Produto retocado",NA,"0%",7,7.15,25.98,33.07,"Nenhuma",NA,NA,"Lasca retocada",NA
"794","H19-3669",119.106002807617,127.495002746582,24.0499992370605,"4","5","LITHIC","VB",TRUE,"LOT-317","Grauvaque","Lasca",NA,"0%",11,10.96,28.96,29.69,"Nenhuma",NA,NA,NA,NA
"795","H19-3674",119.625,127.52799987793,24.0550003051758,"4","5","LITHIC","VB",TRUE,"LOT-317","Grauvaque","Fragmento Lasca","Distal","0%",7,11.39,26.72,0,"Nenhuma",NA,NA,NA,NA
"796","H19-3678",119.017997741699,127.332000732422,23.996000289917,"4","5","LITHIC","VB",TRUE,"LOT-317","Outro","Lasca",NA,"0%",6,4.83,27.18,33.9,"Nenhuma",NA,NA,NA,"Calcário"
"797","H19-3690",119.794998168945,127.434997558594,24.0310001373291,"4","5","LITHIC","VB",TRUE,"LOT-317","Silex","Núcleo",NA,"61-99%",25,27.13,37.04,27.91,"Nenhuma",NA,NA,NA,NA
"798","H19-3692",119.681999206543,127.436996459961,24.0209999084473,"4","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,1,NA,NA
"799","H19-3693",119.013000488281,127.375,23.9899997711182,"4","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Fragmento",NA,NA,4,0,0,0,"Nenhuma",NA,NA,NA,NA
"800","H19-3695",119.123001098633,127.36799621582,23.9850006103516,"4","5","BUCKET","VB",TRUE,"LOT-317","Silex","Lasca",NA,"0%",1.3,4.86,15.19,18.17,"Nenhuma",NA,NA,NA,NA
